,Model,Nodes,Edges,Average_degree,Max_degree,Min_degree,Average_clustering_coefficient,Assortativity,Average_path_length,Diameter
0,rb25.net,25,66,2.64,20,4,0.5577889447236181,-0.16352583586626143,1.952,4
1,20x2+5x2.net,50,404,8.08,22,4,0.986565671001858,0.9186473753688336,2.34,4
2,wheel.net,9,16,1.7777777777777777,8,3,0.46153846153846156,-0.3333333333333333,1.382716049382716,2
3,circle9.net,9,9,1.0,2,2,0.0,,2.2222222222222223,4
4,graph3+1+3.net,7,8,1.1428571428571428,3,2,0.5454545454545454,-0.6,1.8775510204081634,4
5,grid-p-6x6.net,36,72,2.0,4,4,0.0,,3.0,6
6,star.net,9,8,0.8888888888888888,8,1,0.0,-1.0,1.5802469135802468,2
7,graph4+4.net,8,13,1.625,4,3,0.8,-0.08333333333332812,1.625,3
8,SF_500_g2.7.net,500,859,1.718,22,2,0.010455563853622106,-0.02558588110228461,4.866184,12
9,256_4_4_2_15_18_p.net,256,4548,17.765625,46,30,0.7116950695980226,0.02862392046187213,2.771240234375,5
10,ER1000k8.net,1000,3956,3.956,17,1,0.008659952530630573,-0.016833267357878948,3.566208,6
11,BA1000.net,1000,3990,3.99,115,4,0.025478190850944226,-0.05420735055404436,3.180096,5
12,rb125.net,125,426,3.408,100,4,0.2060555088309504,-0.1836623000514904,2.2848,4
13,SF_1000_g2.5.net,1000,1905,1.905,30,2,0.01241177902165977,0.01998152186557376,4.610318,10
14,homorand_N1000_K6_0.net,1000,2994,2.994,6,5,0.003815261044176707,0.19190283400815342,4.187108,6
15,SF_1000_g3.0.net,1000,1517,1.517,26,2,0.0031886625332152346,-0.00853880659775117,5.959098,13
16,homorand_N1000_K4_0.net,1000,2000,2.0,4,4,0.002,,5.63436,9
17,ws2000.net,2000,6000,3.0,13,3,0.003096351162649505,-0.07617895966625882,4.5088375,7
18,SF_1000_g2.7.net,1000,1668,1.668,24,2,0.006346072486250176,-0.001960898955476207,5.463358,12
19,ws1000.net,1000,3000,3.0,13,3,0.004535284513515148,-0.09992885591125625,4.087212,6
20,ER5000k8.net,5000,19980,3.996,17,4,0.001305797741974366,-0.055474484406502766,4.37886512,6
21,256_4_4_4_13_18_p.net,256,4598,17.9609375,50,20,0.48820772450437355,0.0006954016350808414,2.6407470703125,4
22,dolphins.net,62,159,2.564516129032258,12,1,0.3087757313109426,-0.04359402821531262,3.302809573361082,8
23,PGP.net,10680,24340,2.2790262172284645,206,1,0.3780246873828476,0.23945402812586664,7.484839158215152,24
24,airports_UW.net,3618,14142,3.9087893864013266,250,1,0.24345387322110054,0.04622413053190826,4.438367556603079,17
25,zachary_unwh.net,34,78,2.2941176470588234,17,1,0.2556818181818182,-0.47561309768461424,2.337370242214533,5
