,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
0,AAA,2,2.0,1.0,6.07032747,13.0,0.0004474,0.0,0.00014466161005349899
1,AAE,6,6.0,0.73333333,5.23216445,12.0,0.02953289,417.83053490882526,0.00018474642175727465
2,AAL,3,3.0,1.0,5.38356306,12.0,0.01657083,0.0,0.00010523778844917247
3,AAN,11,11.0,0.67272727,5.75746385,12.0,0.03486096,66.1899148822205,0.0002786667196879539
4,AAQ,10,10.0,0.33333333,5.46776434,12.0,0.03278166,130.96214709006088,0.00027672518288627017
5,AAR,6,6.0,0.93333333,5.13340034,12.0,0.04546278,0.1111111111111111,0.00016740685525975377
6,AAT,1,1.0,,6.72669875,13.0,0.00062261,0.0,6.936817870158332e-05
7,AAU,1,1.0,,7.12873116,14.0,4.31e-06,0.0,0.00010639740227425247
8,AAY,4,4.0,0.83333333,6.43917062,13.0,0.00297301,0.4,0.0001431585420803061
9,ABA,1,1.0,,6.39898844,13.0,0.00034129,0.0,6.992595333292454e-05
10,ABD,4,4.0,0.83333333,5.73500452,12.0,0.01189301,19.79774153964736,0.00014034848770836262
11,ABE,14,14.0,0.92307692,5.56545428,13.0,0.10357755,14.843459697248434,0.00030169321015079267
12,ABI,3,3.0,1.0,5.58844842,13.0,0.01768247,0.0,0.00011399374785732407
13,ABJ,28,28.0,0.35449735,5.26591026,12.0,0.12201828,6214.70357294702,0.000703948877744038
14,ABK,3,3.0,1.0,7.2771386,14.0,3.912e-05,0.0,0.00020323051052592721
15,ABL,4,4.0,0.66666667,6.70990672,14.0,3.139e-05,17.97,0.0002526092332143765
16,ABM,3,3.0,0.33333333,6.14280591,11.0,0.00044891,1803.3333333333333,0.00020090671153057235
17,ABQ,36,36.0,0.34126984,4.95665575,12.0,0.14466497,27393.079193541827,0.0010359724219216012
18,ABR,3,3.0,0.33333333,5.62813963,13.0,0.00712668,3616.000000000001,0.00018397918936757736
19,ABS,1,1.0,,6.26349788,13.0,0.00045801,0.0,7.678957750980125e-05
20,ABT,2,2.0,1.0,5.6195478,12.0,0.00863473,0.0,8.465471213962486e-05
21,ABV,3,3.0,0.66666667,5.16874609,12.0,0.01828636,559.5049758447684,0.00013381822457934282
22,ABX,5,5.0,0.6,5.86983864,12.0,0.00231359,37.305744890237094,0.00023405973453589096
23,ABY,1,1.0,,5.52879657,13.0,0.01081064,0.0,6.033231007752286e-05
24,ABZ,22,22.0,0.28138528,5.21144671,12.0,0.0733224,24509.67476200285,0.0005932591491275724
25,ACA,8,8.0,0.67857143,5.58724522,13.0,0.03181167,288.9612522368274,0.00021741671902445877
26,ACC,24,24.0,0.31884058,5.16447457,12.0,0.12053639,4798.969657511565,0.0005766304395807719
27,ACE,38,38.0,0.47510669,5.1062908,12.0,0.20655825,364.7214817003105,0.0006841853584645738
