,MODEL_TYPE,FILE_NAME,NUM_NODES,PARTITION_ID,METHOD,NUM_PARTITIONS,GEN_PARTITION,NX_NVI,NX_NMI,NX_RAND_IDX,IG_NVI,IG_NMI,IG_RAND_IDX,MOD
0,toy,./data/toy/grid-p-6x6.net,36,1,Garvin-Newman,0,False,0.525487709845241,0.4031485840683868,0.7317460317460318,0.48143091911201974,0.3653030425192434,0.7158730158730158,0.41666666666666663
1,toy,./data/toy/grid-p-6x6.net,36,1,Greedy,0,False,0.525487709845241,0.4031485840683868,0.7317460317460318,0.5673982096085844,0.24496112118172678,0.6587301587301586,0.41666666666666663
2,toy,./data/toy/grid-p-6x6.net,36,1,Label-Propagation,0,False,0.39773009929197223,0.4254734689882044,0.7095238095238094,0.38043304550935503,0.0,0.23968253968253972,0.34567901234567905
3,model,./data/model/rb125.net,125,1,Garvin-Newman,3,True,0.21520514598518756,0.8089475721892752,0.9123870967741934,0.19938560642103859,0.8254431596337088,0.9188387096774192,0.6168970001542905
4,model,./data/model/rb125.net,125,1,Greedy,3,True,0.21520514598518756,0.8089475721892752,0.9123870967741934,0.12301546353288215,0.9004077615474677,0.9449032258064515,0.6168970001542905
5,model,./data/model/rb125.net,125,1,Label-Propagation,3,True,0.29121003865206374,0.7540328451483371,0.8799999999999999,0.6708122334277671,0.0,0.03174193548387083,0.5180189115916156
6,model,./data/model/rb125.net,125,2,Garvin-Newman,3,True,0.21105957922408658,0.8119357434393486,0.9129032258064516,0.1952400396599376,0.82844988126609,0.9193548387096774,0.6168970001542905
7,model,./data/model/rb125.net,125,2,Greedy,3,True,0.21105957922408658,0.8119357434393486,0.9129032258064516,0.06752317914745526,0.947345930910387,0.9815483870967742,0.6168970001542905
8,model,./data/model/rb125.net,125,2,Label-Propagation,3,True,0.2870644718909628,0.7566823718803404,0.8805161290322581,0.6666666666666661,0.0,0.032258064516129004,0.5180189115916156
9,model,./data/model/rb125.net,125,3,Garvin-Newman,3,True,0.2427509272972985,0.6923076560603194,0.8612903225806452,0.13809329367339537,0.8284043684093798,0.9193548387096774,0.6168970001542905
10,model,./data/model/rb125.net,125,3,Greedy,3,True,0.2427509272972985,0.6923076560603194,0.8612903225806452,0.3520968003711923,0.5909484961954067,0.7935483870967741,0.6168970001542905
11,model,./data/model/rb125.net,125,3,Label-Propagation,3,True,0.3043177224170528,0.640481786607076,0.8263225806451613,0.3333333333333333,0.0,0.19354838709677424,0.5180189115916156
0,real,./data/real/airports_UW.net,3618,1,Garvin-Newman,1,False,0.12642409834632526,0.7956369802979488,0.9127833324392689,0.12642409834632526,0.7956369802979488,0.9127833324392689,0.6624902465629294
1,real,./data/real/airports_UW.net,3618,1,Greedy,1,False,0.17536267389220764,0.738034313194899,0.8810759889001522,0.1908338984575123,0.7372088156178845,0.911058323105084,0.6570541972995038
2,real,./data/real/airports_UW.net,3618,1,Label-Propagation,1,False,0.2354554734731161,0.6137129115685577,0.8864825566512047,0.2354554734731161,0.6137129115685577,0.8864825566512047,0.6392311679538015
