,MODEL_TYPE,FILE_NAME,NUM_NODES,PARTITION_ID,METHOD,NUM_PARTITIONS,GEN_PARTITION,NX_NVI,NX_NMI,NX_RAND_IDX,IG_NVI,IG_NMI,IG_RAND_IDX,IG_MOD,NX_MOD
0,real,./data/real/cat_cortex_sim.net,55,1,Garvin-Newman,1,True,0.1783461596093847,0.7023413880655228,0.8356902356902358,0.205589067158275,0.6568731477410742,0.820875420875421,0.3522049970981683,0.3522049970981683
1,real,./data/real/cat_cortex_sim.net,55,1,Greedy,1,True,0.1783461596093847,0.7023413880655228,0.8356902356902358,0.3340927577219421,0.0,0.25723905723905727,0.3522049970981683,0.3522049970981683
2,real,./data/real/cat_cortex_sim.net,55,1,Label-Propagation,1,True,0.3340927577219421,0.0,0.25723905723905727,0.23053952719714316,0.6186513617390289,0.8282828282828283,0.0,0.0
3,real,./data/real/zachary_unwh.net,34,1,Garvin-Newman,1,True,0.3488048928155776,0.28912199667145916,0.6203208556149732,0.15089635716008268,0.6924673268725452,0.8413547237076651,0.3806706114398422,0.3806706114398422
4,real,./data/real/zachary_unwh.net,34,1,Greedy,1,True,0.3488048928155776,0.28912199667145916,0.6203208556149732,0.14380330874196545,0.6994881609814813,0.8520499108734403,0.3806706114398422,0.3806706114398422
5,real,./data/real/zachary_unwh.net,34,1,Label-Propagation,1,True,0.3429373012580349,0.2541340846698193,0.6203208556149734,0.18701402988092153,0.6770918449243224,0.7593582887700536,0.3251150558842867,0.3251150558842867
6,real,./data/real/dolphins.net,62,1,Garvin-Newman,1,True,0.4357919739378888,0.01091061396436127,0.473823373876256,0.18826782236918885,0.5727004718449731,0.7139079851930197,0.4954906847039278,0.4954906847039278
7,real,./data/real/dolphins.net,62,1,Greedy,1,True,0.4357919739378888,0.01091061396436127,0.473823373876256,0.18314311917531265,0.5987528107869816,0.7202538339502909,0.4954906847039278,0.4954906847039278
8,real,./data/real/dolphins.net,62,1,Label-Propagation,1,True,0.49723735223952414,0.041140999151152435,0.47382337387625595,0.29375852877160014,0.44891416031539993,0.6176626123744051,0.49857600569597715,0.49857600569597715
9,real,./data/real/football.net,115,1,Garvin-Newman,1,True,0.7533527783839833,0.14797545991945482,0.7723874904652936,0.2674652001003944,0.6977316621164369,0.8807017543859649,0.5564043335134086,0.5564043335134086
10,real,./data/real/football.net,115,1,Greedy,1,True,0.7533527783839833,0.14797545991945482,0.7723874904652936,0.11264701009532874,0.8909515353676931,0.9700991609458428,0.5564043335134086,0.5564043335134086
11,real,./data/real/football.net,115,1,Label-Propagation,1,True,0.7716478764557798,0.23870663716629584,0.8431731502669718,0.2822389423061239,0.6986701827222616,0.8930587337909992,0.5831215454175304,0.5831215454175304
